,year,type,activity,sex,age,fatal_y_n,time,species,latitude,longitude
6258,1988.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,27.7567667,-81.4639835
6260,1987.0,Unprovoked,Swimming,F,Teenager,N,Evening,Other,31.2638905,-98.5456116
6261,1987.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Morning,Other,-22.1646782,144.5844903
6262,1985.0,Provoked,Fishing,M,Others,N,Other,Other,33.2588817,-86.8295337
6263,1984.0,Unprovoked,Spearfishing,M,Young Adult,N,Other,Other,-22.1646782,144.5844903
6264,1983.0,Unprovoked,Other,M,Others,Y,Other,Other,-16.099635499999998,167.416024
6265,1982.0,Unprovoked,Windsurfing,M,Others,N,Other,Other,52.1091014,4.2939298
6266,1982.0,Unprovoked,Other,M,Middle-aged Adult,N,Noon,Other,-32.2171831,26.6386401
6267,1981.0,Unprovoked,Other,M,Others,N,Other,Other,19.593801499999998,-155.42837009716908
6268,1981.0,Unprovoked,Swimming,F,Teenager,N,Other,Other,27.7567667,-81.4639835
6269,1980.0,Unprovoked,Surfing,M,Others,N,Other,Other,27.7567667,-81.4639835
6273,1977.0,Unprovoked,Swimming,M,Others,Y,Noon,Other,17.666667,-100.0
6274,1976.0,Unprovoked,Other,M,Young Adult,N,Other,Other,-30.5343665,135.6301212
6275,1975.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,36.7014631,-118.755997
6276,1975.0,Unprovoked,Spearfishing,M,Young Adult,N,Other,Other,55.7763912,-2.7071703
6277,1973.0,Unprovoked,Other,M,Teenager,N,Other,Other,37.1232245,-78.4927721
6279,1972.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,-36.5986096,144.6780052
6280,1971.0,Provoked,Other,M,Young Adult,N,Noon,Other,-31.8759835,147.2869493
6281,1971.0,Unprovoked,Other,M,Others,N,Other,Other,31.5563051,49.0058885
6282,1968.0,Unprovoked,Spearfishing,M,Young Adult,N,Other,Other,-28.503833,30.8875009
6284,1968.0,Unprovoked,Free diving,M,Young Adult,N,Morning,Other,36.7014631,-118.755997
6286,1966.0,Unprovoked,Fishing,M,Young Adult,N,Other,Other,-42.035067,146.6366887
6287,1966.0,Provoked,Fishing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
6288,1966.0,Sea Disaster,Other,M,Others,N,Other,Other,-31.8759835,147.2869493
6290,1965.0,Unprovoked,Other,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
6292,1963.0,Unprovoked,Spearfishing,M,Young Adult,N,Other,Other,37.587794,14.155048
6295,1960.0,Unprovoked,Spearfishing,M,Child,N,Other,Other,12.0535331,-61.751805
6297,1960.0,Unprovoked,Other,M,Teenager,Y,Other,Other,-5.0,145.5
6300,1959.0,Provoked,Fishing,M,Others,N,Other,Other,33.6874388,-80.4363743
6301,1959.0,Unprovoked,Wading,M,Others,Y,Other,Other,19.6666671,-88.5000001
6302,1958.0,Unprovoked,Other,M,Child,N,Noon,Other,27.7567667,-81.4639835
6303,1957.0,Unprovoked,Floating,M,Others,N,Noon,Other,27.7567667,-81.4639835
6304,1956.0,Unprovoked,Swimming,M,Others,Y,Other,Other,0.4302639,9.4655189
6307,1952.0,Unprovoked,Other,M,Others,N,Morning,Other,18.2247706,-66.4858295
6308,1952.0,Unprovoked,Spearfishing,M,Young Adult,Y,Other,Other,-3.0,151.5
6309,1952.0,Unprovoked,Swimming,M,Others,Y,Other,Other,27.7567667,-81.4639835
6310,1951.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Morning,Other,-15.12091315,-147.69545182567657
6311,1951.0,Unprovoked,Other,M,Young Adult,N,Other,Other,-31.8759835,147.2869493
6312,1950.0,Unprovoked,Other,M,Teenager,N,Other,Other,-22.1646782,144.5844903
6313,1950.0,Unprovoked,Swimming,M,Teenager,Y,Other,Other,33.875647,132.0619523739814
6314,1950.0,Unprovoked,Standing,M,Others,N,Other,Other,27.7567667,-81.4639835
6315,1950.0,Unprovoked,Other,M,Others,N,Other,Other,-17.762453299999997,177.43747042786867
6316,1949.0,Unprovoked,Swimming,M,Young Adult,N,Other,Other,39.0565974,16.5249864
6317,1949.0,Provoked,Fishing,M,Others,N,Other,3' shark,-22.1646782,144.5844903
6318,1949.0,Unprovoked,Other,M,Young Adult,Y,Noon,Other,-31.8759835,147.2869493
6320,1947.0,Unprovoked,Diving,M,Others,N,Other,Other,-19.8516101,133.2303375
6321,1945.0,Unprovoked,Swimming,M,Teenager,N,Noon,Bull shark,30.4952371,47.8090981
6322,1944.0,Unprovoked,Swimming,M,Teenager,Y,Noon,Other,-28.503833,30.8875009
6326,1938.0,Unprovoked,Body surfing,M,Middle-aged Adult,N,Other,Other,10.443024300000001,-61.26130538878063
6327,1938.0,Unprovoked,Diving,M,Teenager,N,Other,Other,-10.416667,142.166667
6328,1935.0,Unprovoked,Standing,M,Young Adult,Y,Evening,Other,-31.8759835,147.2869493
6329,1935.0,Unprovoked,Fishing,M,Others,N,Other,Other,-31.8759835,147.2869493
6330,1934.0,Unprovoked,Other,M,Child,N,Noon,Other,-31.8759835,147.2869493
6331,1934.0,Unprovoked,Other,M,Others,Y,Other,Other,-10.416667,142.166667
6332,1934.0,Unprovoked,Swimming,M,Others,Y,Noon,Other,-28.503833,30.8875009
6333,1934.0,Unprovoked,Diving,M,Others,N,Other,Other,14.574348,121.0585012
6334,1932.0,Provoked,Other,M,Others,N,Other,Other,-31.8759835,147.2869493
6335,1932.0,Unprovoked,Swimming,M,Others,N,Other,Other,19.593801499999998,-155.42837009716908
6336,1931.0,Unprovoked,Swimming,M,Others,N,Other,Other,40.0757384,-74.4041622
6337,1930.0,Unprovoked,Other,M,Teenager,N,Other,Other,38.0058559,140.6242638
6340,1928.0,Unprovoked,Bathing,M,Teenager,N,Other,4' shark,-22.1646782,144.5844903
6341,1924.0,Unprovoked,Other,F,Young Adult,N,Evening,Other,-31.8759835,147.2869493
6342,1924.0,Unprovoked,Other,M,Teenager,Y,Noon,Other,-31.8759835,147.2869493
6344,1922.0,Unprovoked,Standing,F,Teenager,Y,Other,Other,17.9692835,-76.76522019694673
6345,1922.0,Unprovoked,Surfing,M,Young Adult,Y,Other,Other,-31.8759835,147.2869493
6346,1921.0,Unprovoked,Other,M,Others,N,Other,Other,-22.1646782,144.5844903
6347,1921.0,Provoked,Fishing,M,Others,N,Other,Other,50.79683685,-2.34473226124306
6348,1919.0,Unprovoked,Other,M,Others,Y,Other,Other,27.7567667,-81.4639835
6349,1915.0,Unprovoked,Other,M,Others,N,Other,Other,27.7567667,-81.4639835
6351,1907.0,Unprovoked,Bathing,M,Teenager,Y,Other,Other,-22.1646782,144.5844903
6352,1906.0,Unprovoked,Fishing,M,Others,N,Other,Other,18.220038199999998,-78.13312138505289
6353,1904.0,Unprovoked,Other,M,Others,Y,Other,Other,-22.1646782,144.5844903
6356,1902.0,Provoked,Other,M,Others,N,Other,Other,-38.00353045,175.95782102762962
6359,1900.0,Unprovoked,Other,M,Others,N,Noon,Other,-31.8759835,147.2869493
6360,1899.0,Unprovoked,Swimming,M,Others,Y,Other,Other,23.9891553,-98.7026825
6361,1899.0,Provoked,Other,M,Others,Y,Other,Other,36.7014631,-118.755997
6362,1899.0,Unprovoked,Other,M,Child,N,Morning,Other,27.090172950000003,33.82356900309031
6363,1899.0,Unprovoked,Bathing,M,Teenager,N,Morning,Other,27.090172950000003,33.82356900309031
